;;;;;;;;;;
;;;;;;;;;;
Grupos;Subgrupo;Indicador;Prazo;Método de cálculo;Descrição;Nível de complexidade de atenção;Esfera de governo;Sistema de informação;Referência;Observações da equipe do projeto
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram teste anti-HIV *;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou exames para a detecção de HIV em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes que realizaram exames para a detecção de HIV em um dado período e local;Atenção Básica;Município;SIH / SIA;Secretaria de Saúde do Rio Grande do Sul. Boletim Informativo Nº 05/Setembro de 2020: https://atencaoprimaria.rs.gov.br/upload/arquivos/202009/25134156-05-boletim-tr-gestante.pdf;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de gestantes que realizaram tipagem sanguínea Rh ;01/11/2024;Nº de gestantes, acompanhadas no pré?natal, que realizou tipagem sanguínea Rh em um dado período e local / N° total de gestantes acompanhadas no mesmo período e local x 100;Distribuição proporcional de gestantes que realizaram tipagem sanguínea Rh em um dado período e local;Atenção Básica;Município;SIH / SIA;Uchoa JL, Sales AAR, Joventino ES, Ximenes LB. INDICADORES DE QUALIDADE DA ASSISTÊNCIA AO PRÉ-NATAL: REALIDADE DE GESTANTES ATENDIDAS EM UNIDADE DE SAÚDE DA FAMÍLIA. (2010). DOI: 10.5205/reuol.724-5678-1-LE.0401201028;É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 1 - Pré-natal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Média da IG de realização do primeiro VDRL ;01/11/2024;Soma das idades gestacionais (em semanas) de todas as gestantes no momento da realização do primeiro teste VDRL / N° total de gestantes que fizeram o teste;Identificação do tempo (de gestação) em que o primeiro VDRL é realizado, em média, pelas gestantes de um determinado local;Atenção Básica;Município;SIH / SIA;"Lima BG de C. Abordagem da sífilis como indicador de qualidade da assistência pré-natal em Salvador. Rev Baiana Saúde Pública [Internet]. 2014;28(1):9. Available from: http://dx.doi.org/10.22278/2318-2660.2004.v28.n1.a1143";É necessária a vinculação de dados individualizados entre dois sistemas distintos do DATASUS
Grupo 2 - Parto;Indicadores sobre DESFECHOS de Saúde Pública ;Percentual de tipo de parto por Grupo de Robson *;04/10/2024;N° de gestantes por Classificação de Robson / N° total de gestantes x 100;Distribuição percentual de gestantes em cada uma das 10 categorias da Classificação de Robson no período considerado;Atenção Básica;Município;SINASC;MS - https://www.gov.br/ans/pt-br/arquivos/assuntos/gestao-em-saude/parto-adequado/FICHAS_TODOS_INDICADORES.pdf;
Grupo 2 - Parto;Indicadores sobre ESTRUTURA e RECURSOS;Proporção de Enfermeiros Obstétricos *;04/10/2024;N° de enfermeiros obstétricos em uma determinada região / N° total de habitantes X 100;Avalia a disponibilidade de enfermeiros obstétricos para uma determinada população;"Atenção Básica; Média/alta complexidade";Município;TABWIN – CNES recursos humanos ;Migoto, M. T., Oliveira, R. P. de ., & Freire, M. H. de S.. (2022). Validação de indicadores para monitoramento da qualidade do pré-natal. Escola Anna Nery, 26, e20210262. https://doi.org/10.1590/2177-9465-EAN-2021-0262;
Grupo 2 - Parto;Indicadores sobre ESTRUTURA e RECURSOS;"Proporção de partos vaginais conforme o profissional que assistiu (médico, enfermeira-obstetra; parteira; outros)";04/10/2024;N° de partos de acordo com o profissional prestador da assistência / N° total de partos assistidos x 100;"Distribuição percentual de partos de acordo com o profissional que assistiu ao parto (médico, enfermeira-obstetra; parteira; outros)";Média/alta complexidade;Município;SINASC;MS - https://www.gov.br/ans/pt-br/arquivos/assuntos/gestao-em-saude/parto-adequado/FICHAS_TODOS_INDICADORES.pdf;
Grupo 2 - Parto;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de partos vaginais com episiotomia *;11/10/2024;N° de partos vaginais com episiotomia / N° total de partos vaginais no mesmo período x 100;Distribuição proporcional de partos vaginais em que foi realizada a episiotomia;Média/alta complexidade;Município;SIH - SP;Resende, M. T. dos S., Lopes, D. S., & Bonfim, E. G.. (2020). Profile on childbirth care at a public maternity hospital. Revista Brasileira De Saúde Materno Infantil, 20(3), 863–870. https://doi.org/10.1590/1806-93042020000300011;
Grupo 2 - Parto;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de cesáreas ;25/10/2024;Nº total de partos cesáreas / Nº total de partos (vaginal + cesáreo) x 100;Proporção de partos realizados por cirurgia cesárea em relação ao número total de partos realizados, em determinado período.;Média/alta complexidade;Município/Estado;SINASC;Fichas de Indicadores Painél Parto, Agência Nacional de Saúde Suplementar. Disponível em: https://www.gov.br/ans/pt-br/arquivos/assuntos/gestao-em-saude/parto-adequado/fichas-de-indicadores-painel_parto.pdf;
Grupo 3 - Neonatal;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Taxa total de leitos neonatais *;27/09/2024;N° de leitos de UTI Neonatal / N° total de NV x 1.000;Disponibilidade de leitos de Unidade de Terapia Intensiva (UTI) Neonatal, por 1.000 NV, em determinado espaço geográfico, no ano considerado.;Alta complexidade;Município;TABWIN – CNES;Indicadores de Análise de Situação de Saúde da Rede de Atenção Materna e Neonatal: https://www.as.saude.ms.gov.br/wp-content/uploads/2021/11/Documento-Orientação-Indicadores-Saude-Materna-e-Infantil_v13-Ago-21-1-1-1-1.pdf;
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de neonatos com adequado índice de Apgar no 1º e 5° minuto;04/10/2024;"Nº de recém?nascidos com apgar < 7 no
primeiro ou quinto minuto de vida em um determinado local e ano/Nº total de recém?nascidos no mesmo local e ano x 100";Proporção de recém-nascido com Apgar de 1º minuto <7 e de 5º minuto <7. Mede a ocorrência de asfixia no recém-nascido no primeiro minuto de vida. Contribui na análise das condições do parto e nascimento.;Alta complexidade;Município;SINASC;Indicadores estratégicos para a rede cegonha: Disponível em: https://www.saude.sc.gov.br/index.php/informacoes-gerais-documentos/redes-de-atencao-a-saude-2/rede-aten-a-saude-materna-e-infantil-rede-cegonha/acervo-e-e-books/12365-indicadores-estrategicos-rede-cegonha/file;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Taxa de baixo peso ao nascer;04/10/2024;N° de NV com menos de 2.500g / N° total de NV) X 100;Proporção de NV com menos de 2.500g ao nascer (baixo peso) no período considerado;Atenção básica, média e alta complexidade;Município;SINASC;Indicadores de Atenção à Saúde Materna e Neonatal.Disponivél em: https://www.gov.br/ans/pt-br/arquivos/assuntos/gestao-em-saude/parto-adequado/FICHAS_TODOS_INDICADORES.pdf;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Proporção de neonatos vacinados *;04/10/2024;N° de doses de imunizantes neonatais (BCG e Hepatite B) aplicadas por localidade em determinado período / N° total de NV no mesmo local e período x 100;Verificar a cobertura vacinal para neonatos (BCG, Hepatite B);Atenção básica;Estado/Município;SI-PNI / SINASC;"Cobertura Vacinal no Brasil
2020: https://ieps.org.br/wp-content/uploads/2021/05/Panorama_IEPS_01.pdf";Método de cálculo indicado pelos pesquisadores
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de neonatos com ocorrência de asfixia perinatal;11/10/2024;(Soma do número de asfixias perinatais (22 semanas de gestação e mais) de RN /Número de nascimentos totais  (NV mais óbitos fetais de 22 semanas e mais de gestação)) X 1.000;Percentual de recém nascidos que tiveram diagnóstico de asfixia perinatal, no periodo considerado.;Alta complexidade;Município;SIH;Ficha de Qualificação do Indicador. Índice de Asfixia Perinatal. Disponível em: http://www2.saude.ba.gov.br/hgpv/Ficha%20de%20Qualifica%C3%A7%C3%A3o%20do%20Indicador%20-%20IAP.pdf;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de óbitos neonatais conforme causas (evitável/não claramente evitável/mal definidas);11/10/2024;Nº de óbitos de neonatos conforme causa de óbito por local de redidência / Nº de NV residentes nesse mesmo local x 1.000;"Os óbitos evitáveis são divididos em
quatro grandes grupos: (1) reduzíveis por adequada atenção à mulher na gestação, parto e ao recém-nascido; (2) reduzíveis por ações adequadas de diagnóstico e tratamento; (3) reduzíveis por ações de
imunoprevenção; (4) Reduzíveis por ações
adequadas de promoção à saúde, vinculadas as ações adequadas de atenção à saúde";Atenção básica, média e alta complexidade;Município;SIM/SINASC;"Baptista GC, Poton WL. Evolution of neonatal mortality by preventable causes over the past ten years in Espírito Santo State. Rev Bras Saude Mater Infant [Internet]. 2021Jan;21(1):45–54. Available from: https://doi.org/10.1590/1806-93042021000100003";"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Taxa de unidades com adequação no número de recursos humanos (profissionais) e materiais *;11/10/2024;Nº de unidades com recursos humanos e materiais adequados / Nº total de unidades no local x 1.000;Unidades que possuem número de recursos humasos e materiais de acordo com o preconizado em portarias do MS.;Atenção básica, média e alta complexidade;Município;TABNET – Recursos humanos;"Pereira CM, Porto F.. INDICADORES DE QUALIDADE EM TERAPIA INTENSIVA NEONATAL: CONTRIBUIÇÃO NO GERENCIAMENTO
DO CUIDADO. Rev. de Pesq.: cuidado é fundamental Online 2010. abr/jun. 2(2):723-734";
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de infecções sistêmicas neonatais;18/10/2024;N° de internados devido a infecção no período neonatal / N° total de NV x 1.000;Número de neonatos que internaram por infecção no período neonatal. CID-10 considerados conforme referência: Critérios Diagnósticos de Infecções Relacionadas à Assistência à Saúde Neonatologia;Alta complexidade;Município;SIH;Indicadores. Taxa de Infecção neonatal precoce. Disponível em: https://proqualis.fiocruz.br/indicadores/taxa-de-infec%C3%A7%C3%A3o-neonatal-precoce-nas-primeiras-48-horas-de-vida.  /  ANVISA Critérios Diagnósticos de Infecções Relacionadas à Assistência à Saúde Neonatologia: https://bvsms.saude.gov.br/bvs/publicacoes/criterios_diagnosticos_infeccoes_assistencia_saude_neonatologia.pdf;"herpes simples, 
toxoplasmose, rubéola, citomegalovírus, sífilis, hepatite B e infecção pelo vírus da imunodeficiência 
humana adquirida (HIV), Zika , chikungunya e dengue, Sepse, Infecção do trato urinário, Pneumonia clínica, Bronquite, Traqueobronquite, Bronquiolite, Traqueíte (sem Pneumonia), Enterocolite necrosante, Meningite, Infecção intracraniana (abscesso cerebral, infecção subdural ou epidural, encefalite), Endocardite, Miocardite ou Pericardite, Mediastinite. 

Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de óbitos nas primeiras 24h de vida;18/10/2024;"Nº de óbitos de RN nas primeiras 24h de vida, em determinado ano e local de
residência / Nº de NV nesse mesmo
local e ano x 1.000";Mensurar a proporção de óbitos de neonatais que ocorrem nas primeiras 24h de vida ;Média e alta complexidade;Município;SIM/SINASC;Indicadores estratégicos para a rede cegonha: Disponível em: https://www.saude.sc.gov.br/index.php/informacoes-gerais-documentos/redes-de-atencao-a-saude-2/rede-aten-a-saude-materna-e-infantil-rede-cegonha/acervo-e-e-books/12365-indicadores-estrategicos-rede-cegonha/file. ;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
